Job Title,Company,Loaction,PostDate,CurrentDate,Summary,Salary,Joburl
Flutter Developer,Technaureus Info Solutions,"Calicut, Kerala",Today,"June 16, 2021",Familiarity with Kotlin is a bonus but not necessary. Experience with at least 1 app based on Flutter. Work with new standards and technologies for development efficiency.,,https://in.indeed.com/rc/clk?jk=587651d2dc93cf2c&fccid=c83672e6b0e4c809&vjs=3
Software Developer .NET,Techneurons Consulting Solutions,"Kochi, Kerala",1 day ago,"June 16, 2021","Ability to translate business needs into software features. Collaborate with other programmers to design and implement features. Experience in designing, developing, and supporting applications.",,https://in.indeed.com/rc/clk?jk=0227ce21a31c245d&fccid=8d5d9b46628c65a6&vjs=3
Software Developer 2,Oracle,Kerala,14 days ago,"June 16, 2021","You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications or operating systems.",,https://in.indeed.com/rc/clk?jk=a55a34097ce4b5b6&fccid=cd22d01053af7669&vjs=3
Application Systems Engineering,Ernst & Young,"Thiruvananthapuram, Kerala",1 day ago,"June 16, 2021",Knowledge of and ability to use application delivery services and / or application management maintenance services and technologies to deliver new or enhanced applications.,,https://in.indeed.com/rc/clk?jk=c85534e9c36b0c33&fccid=1544766d4c2915b0&vjs=3
BMCA — Associate — SharePoint Developer,Ernst & Young,"Kochi, Kerala",15 days ago,"June 16, 2021","Diagnosing end user’s problems, the ability to prescribe the right solution and then ultimately determine the right combination of methods using the skills mentioned above to deliver the right…",,https://in.indeed.com/rc/clk?jk=61c7c5f1249fb991&fccid=1544766d4c2915b0&vjs=3
Java Developer,Infosys Limited,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021","A day in the life of an Infoscion • As part of the Infosys Delivery team, you will work on implementing designs, developing high quality programs and systems, partnering with our clients to ensure…",,https://in.indeed.com/rc/clk?jk=32209aa82d9542a4&fccid=c67533a523c83a4c&vjs=3
Java Developer,IOSS,"Calicut, Kerala",30+ days ago,"June 16, 2021","Hands-on experience in designing and developing applications using Java EE platforms. Proven working experience in java development. Excellent knowledge of Relational Databases, SQL.",,https://in.indeed.com/rc/clk?jk=6815ea4c53e4ea9b&fccid=180b2b3a62e09267&vjs=3
AppForms Developer,ClaySys Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021","The ideal candidate would be - Any graduate, Having logical problem-solving skills, Having knowledge or willingness to learn relational database management Added advantage if you have - Good written…",,https://in.indeed.com/rc/clk?jk=125e5347209e9e25&fccid=c23f4d6ce79f9474&vjs=3
Full Stack Developer,IBM,"Kochi, Kerala",5 days ago,"June 16, 2021","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on…",,https://in.indeed.com/rc/clk?jk=9fe8c9e114a5a60f&fccid=de71a49b535e21cb&vjs=3
Dot Net Developer,Meshilogic Softwares,"Malappuram, Kerala",7 days ago,"June 16, 2021",Web application development using Dot Net MVC. Minumum 1-3 years experience as Dot Net Developer. Develop Reports using Telerik Tool. Develop web applications in dot net platform.,,https://in.indeed.com/rc/clk?jk=f923f98f46b00fb9&fccid=ed438c342e25ba6e&vjs=3
"Principal Software Developer, QA",Nielsen,"Kochi, Kerala",1 day ago,"June 16, 2021","Actively participate in design discussions with an eye toward ensuring the. Coordinate with various stakeholders - technology teams, product owners & developers. Worked in an Agile practices.",,https://in.indeed.com/rc/clk?jk=1101abf2aee65156&fccid=683f563b5cc25b70&vjs=3
Java Software Developer,Mejora Jobs And Education,"Calicut, Kerala",30+ days ago,"June 16, 2021",Job Description : Java Software Developer Location: Calicut Qualification: B.Tech / B.Sc /M.Sc / MCA Experience: 2-6 Years Salary: 20k-50k 2.00-6.00…,"₹20,000 - ₹50,000 a month",https://in.indeed.com/rc/clk?jk=289a6d40e4f07744&fccid=83540646dd994ddf&vjs=3
